s606	14	37	37
s607	7	46	37
s608	12	56	37
s609	14	37	37
s610	14	63	37
s611	14	55	51
s612	14	55	51
s613	14	55	51
s614	7	46	56
s615	7	63	51
s616	7	61	63
s617	7	37	37
s619	14	47	37
s620	7	46	37
s623	11	37	37
s624	9	44	46
s625	7	46	56
s630	7	46	37
s631	7	37	37
s633	9	46	37
s634	7	43	46
s635	1	46	37
s636	7	46	37
s637	14	37	37
s642	1	60	37
s644	12	37	37
s645	9	63	37
s646	1	46	37
s647	9	46	61
s650	7	46	63
s651	7	46	37
s652	9	44	46
s653	9	44	46
s655	9	44	46
s656	9	44	46
s657	17	61	63
s671	14	57	46
s672	14	57	46
s673	14	57	46
s684	7	46	37
s686	7	37	37
s688	14	44	46
s689	9	46	63
s690	14	57	54
s691	14	46	37
s694	9	44	46
s695	9	44	43
s696	7	46	37
s699	7	43	46
s702	7	37	37
s703	9	44	43
s705	9	44	46
s706	1	46	60
s709	7	43	37
s712	7	46	56
s713	14	44	46
s717	1	37	37
s718	1	37	37
s719	9	43	37
s722	14	37	37
s723	1	37	37
s725	1	37	37
s728	1	37	37
s729	12	37	37
s730	23	37	37
s731	23	37	37
s733	23	37	37
s736	9	44	46
s737	6	44	46
s739	26	71	37
s740	6	47	37
s741	9	55	37
s742	7	46	37
s743	7	46	37
s744	7	43	63
s746	17	56	37
s747	7	56	37
s748	9	44	46
s751	7	43	46
s753	14	47	51
s755	7	43	37
s756	6	71	46
s757	7	46	63
s758	1	37	37
s760	23	37	37
s761	23	37	37
s763	9	46	63
s765	9	46	63
s766	14	46	37
s767	21	37	37
s769	9	44	46
s770	1	46	37
s771	1	46	61
s774	7	46	56
s775	7	66	63
s776	7	43	67
s777	14	37	37
s778	9	43	67
s780	14	64	51
s782	1	37	37
s783	7	63	37
s784	9	46	61
s785	9	44	43
s787	14	44	37
s788	14	37	37
s789	11	37	37
s791	1	37	37
s792	14	44	37
s793	9	44	63
s794	9	63	37
s795	9	44	46
s797	28	55	37
s798	7	37	37
s799	9	44	43
s800	7	60	37
s801	7	43	67
s802	14	44	60
s803	14	37	37
s805	12	56	37
s807	14	44	46
s808	14	44	46
s809	14	37	37
s810	14	47	37
s811	14	54	64
s812	6	37	37
s813	14	37	37
s815	9	63	37
s816	7	46	67
s817	11	37	37
s818	9	44	43
s819	9	44	63
s820	14	54	37
s822	7	63	56
s823	12	37	37
s824	9	44	43
s825	11	37	37
s827	21	37	37
s828	9	46	37
s829	7	37	37
s830	6	47	37
s835	6	44	66
s837	12	46	56
s839	21	37	37
s840	7	43	46
s841	7	46	60
s842	14	44	46
s845	1	46	37
s846	7	46	56
s847	6	47	51
s850	17	61	37
s851	7	46	61
s852	7	46	61
s853	7	46	61
s854	14	55	37
s855	1	37	37
s857	7	46	37
s859	7	43	46
s860	7	46	37
s861	1	46	67
s862	6	47	37
s864	6	47	37
s865	7	46	56
s866	14	44	37
s867	11	37	37
s868	1	37	37
s871	1	37	37
s872	9	44	46
s873	7	43	51
s874	7	43	46
s876	7	46	63
s878	9	43	46
s879	7	46	56
s882	7	46	56
s883	6	47	37
s886	9	44	46
s888	12	46	56
s889	9	37	37
s890	7	56	37
s892	29	46	56
s893	7	43	46
s894	1	46	61
s895	7	43	46
s896	7	46	56
s899	9	44	46
s900	7	46	37
s902	29	56	37
s904	7	46	56
s905	14	37	37
s906	14	44	46
s907	7	46	37
s908	1	37	37
s910	7	43	46
s911	7	37	37
s913	9	37	37
s914	7	46	63
s915	1	37	37
s916	7	46	56
s917	14	37	37
s918	1	44	37
s923	7	43	56
s925	6	47	37
s927	14	44	37
s929	14	60	37
s930	14	55	37
s931	14	47	37
s932	9	37	37
s933	14	37	37
s934	6	44	37
s935	7	43	37
s936	6	47	37
s938	6	47	37
s939	6	47	61
s940	6	61	37
s941	6	47	37
s942	6	47	37
s943	7	56	37
s944	14	44	60
s945	14	37	37
s946	7	46	37
s947	14	51	37
s948	7	56	37
s949	9	37	37
s950	14	51	37
s951	7	46	51
s952	9	63	37
s953	14	47	37
s954	7	56	37
s955	6	47	37
s956	14	37	37
s957	9	43	63
s959	7	46	37
s960	7	43	46
s962	6	47	37
s963	12	37	37
s965	12	56	37
s967	9	46	37
s970	7	37	37
s971	14	51	37
s972	11	37	37
s974	7	46	37
s975	7	43	46
s976	14	47	44
s977	9	46	37
s978	9	46	37
s979	9	46	63
s980	9	46	37
s981	9	46	37
s982	14	47	46
s983	9	44	46
s984	1	46	61
s985	9	46	37
s986	9	46	63
s987	9	46	63
s988	9	46	37
s990	9	46	37
s991	9	46	37
s992	7	43	46
s993	17	61	37
s995	7	46	63
s996	9	44	46
s997	12	46	56
s999	1	46	37
s1000	7	46	56
s1001	14	46	37
s1002	7	46	56
s1003	9	46	37
s1006	6	47	37
s1007	6	47	37
s1008	6	47	37
s1009	6	37	37
s1010	6	37	37
s1011	6	37	37
s1012	1	37	37
s1014	11	37	37
s1016	7	37	37
s1017	14	47	46
s1018	7	46	37
s1019	9	46	61
s1020	7	46	61
s1021	1	46	37
s1022	9	44	43
s1023	7	46	37
s1024	7	43	46
s1025	6	47	61
s1027	6	37	37
s1028	12	63	51
s1029	9	37	37
s1030	7	46	37
s1031	6	47	44
s1032	7	46	63
s1034	14	44	46
s1035	11	37	37
s1036	7	37	37
s1037	14	51	37
s1038	9	44	46
s1040	1	61	37
s1042	14	57	55
s1047	11	37	37
s1051	7	46	67
s1053	7	43	37
s1054	1	61	37
s1055	1	46	61
s1056	28	44	61
s1067	7	46	56
s1070	7	46	63
s1071	1	37	37
s1072	6	61	37
s1073	6	47	61
s1074	6	61	37
s1075	6	37	37
s1077	6	37	37
s1078	6	37	37
s1079	6	37	37
s1081	14	57	46
s1084	9	37	37
s1086	7	46	37
s1087	7	46	56
s1088	9	55	46
s1089	14	47	37
s1090	7	37	37
s1091	7	46	63
s1093	1	61	37
s1097	6	47	37
s1098	1	37	37
s1099	9	44	46
s1100	7	46	37
s1101	12	56	37
s1102	6	47	51
s1103	9	37	37
s1104	14	44	46
s1105	6	47	44
s1106	7	43	37
s1107	14	37	37
